#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Cirrus SR20", unit_software_part_number="006-B1177-C2", unit_software_version="21.70", system_software_part_number="006-B2647-N9", system_id="25DE53978", mode=NORMAL, flightstream_header="25DE53978_4193", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.07,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,    ,  GPS,  299.0, 108.50, 117.30, 135.100, 122.800,       ,       ,       ,       ,       ,       ,   13.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.07,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,    ,  GPS,  299.0, 108.50, 117.30, 135.100, 122.800,       ,       ,       ,       ,       ,       ,   13.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.07,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,     0.00,        ,        ,  29.23,    0.0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,    ,  GPS,  299.0, 108.50, 117.30, 135.100, 122.800,       ,       ,       ,       ,       ,       ,   13.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,    13.2, 30.07,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,     0.00,        ,        ,  29.23,    0.0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  299.0, 108.50, 117.30, 135.100, 122.800,       ,       ,       ,       ,       ,       ,   13.0,       ,      ,       ,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
          ,         ,        ,       ,             ,             ,    13.2, 30.07,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,     0.00,        ,        ,  29.24,    0.0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  299.0, 108.50, 117.30, 135.100, 122.800,       ,       ,       ,       ,       ,       ,   13.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-05-05, 13:25:21,  -07:00,       ,             ,             ,    13.2, 30.07,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.0,  24.4,  -9.6,       ,  18.47,     0.00,  120.29,    0.03,  29.24,    0.0,    0.00,  171.13,  170.77,  176.74,  175.69,        ,        ,  120.01,  129.07,  126.01,  144.70,        ,  190.16,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  299.0, 108.50, 117.30, 135.100, 122.800,       ,       ,       ,       ,       ,       ,   13.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-05-05, 13:25:22,  -07:00,       ,             ,             ,    13.2, 30.07,        ,  17.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.0,  24.3, -10.0,  20.12,  18.46,     0.00,  120.30,    0.04,  29.23,    0.0,    0.00,  171.12,  170.76,  176.73,  175.69,        ,        ,  119.96,  129.01,  125.91,  144.63,        ,  190.12,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  299.0, 108.50, 117.30, 135.100, 122.800,       ,       ,       ,       ,       ,       ,   13.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-05-05, 13:25:23,  -07:00,       ,             ,             ,    13.2, 30.07,        ,  17.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.0,  24.3,  -9.3,  20.12,  18.45,     0.00,  120.32,    0.04,  29.24,    0.0,    0.00,  171.11,  170.75,  176.71,  175.66,        ,        ,  119.85,  128.93,  125.84,  144.54,        ,  190.08,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  299.0, 108.50, 117.30, 135.100, 122.800,       ,       ,       ,       ,       ,       ,   13.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-05-05, 13:25:24,  -07:00,       ,             ,             ,    13.2, 30.07,        ,  17.2,   0.00,       ,   -3.98,       ,       ,       ,       ,      ,      ,  25.0,  24.3,  -9.1,  20.12,  18.44,     0.00,  120.33,    0.06,  29.25,    0.0,    0.00,  171.09,  170.71,  176.69,  175.64,        ,        ,  119.70,  128.75,  125.64,  144.34,        ,  189.93,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  299.0, 108.50, 117.30, 135.100, 122.800,       ,       ,       ,       ,       ,       ,   13.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-05-05, 13:25:25,  -07:00,       ,             ,             ,    14.2, 30.07,        ,  17.2,   0.00,       ,    6.91,       ,       ,       ,       ,      ,      ,  25.0,  24.3,  -9.6,  20.13,  18.42,     0.00,  120.35,    0.05,  29.25,    0.0,    0.00,  171.06,  170.70,  176.66,  175.64,        ,        ,  119.65,  128.73,  125.61,  144.30,        ,  189.94,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  299.0, 108.50, 117.30, 135.100, 122.800,       ,       ,       ,       ,       ,       ,   13.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
