#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Cirrus SR20", unit_software_part_number="006-B1177-C2", unit_software_version="21.70", system_software_part_number="006-B2647-N9", system_id="25DE53978", mode=NORMAL, flightstream_header="25DE53978_20240505_100735", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024-05-05, 10:07:35,  -07:00,       ,   37.5145760, -122.2509613,  -126.2, 29.92,     4.9,      ,   0.00,   0.00,        ,       ,       ,       ,       ,      , 256.3,      ,      ,      ,       ,       ,         ,        ,        ,  29.30,    0.0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,  -104.0,   0,  GPS,   98.0, 108.50, 117.30, 119.000, 125.900,       ,       ,       ,       ,       ,       ,   13.0,      0,  NONE,   NONE,      ,      ,   0.0, 3DDiff, 3704,      ,     12,  23.0,     28
2024-05-05, 10:07:36,  -07:00,       ,   37.5145760, -122.2509613,  -126.2, 29.92,     5.0,  15.2,   0.00,   0.00,        ,       ,       ,       ,       ,      , 256.3,      ,      ,      ,       ,       ,     0.00,        ,        ,  29.30,    0.0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,  -103.9,   0,  GPS,   98.0, 108.50, 117.30, 119.000, 125.900,       ,       ,       ,       ,       ,       ,   13.0,      0,  NONE,   NONE,      ,      ,   0.0, 3DDiff, 3704,      ,     12,  23.0,     28
2024-05-05, 10:07:37,  -07:00,       ,   37.5145760, -122.2509613,  -126.2, 29.92,     5.1,  15.2,   0.00,   0.00,        ,       ,       ,       ,       ,      , 256.3,  24.8,  24.1,  -4.2,  15.04,  17.60,     0.00,   57.68,   -0.03,  29.31,    0.0,    0.00,   55.65,   54.21,   54.81,   55.01,        ,        ,   55.94,   54.25,   55.06,   54.60,        ,  437.48,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,  -103.7,   0,  GPS,   98.0, 108.50, 117.30, 119.000, 125.900,       ,       ,       ,       ,       ,       ,   13.0,      0,  NONE,   NONE,      ,      ,   0.0, 3DDiff, 3704,      ,     13,  23.0,     28
2024-05-05, 10:07:38,  -07:00,       ,   37.5145760, -122.2509613,  -126.2, 29.92,     5.3,  15.2,   0.00,   0.00,        ,       ,       ,       ,       ,      , 256.3,  24.8,  24.1,  -4.1,  15.03,  17.60,     0.00,   57.69,   -0.03,  29.31,    0.0,    0.00,   55.67,   54.24,   54.83,   55.02,        ,        ,   55.89,   54.28,   55.10,   54.60,        ,  436.35,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,  -103.5,   0,  GPS,   98.0, 108.50, 117.30, 119.000, 125.900,       ,       ,       ,       ,       ,       ,   13.0,      0,  NONE,   NONE,      ,      ,   0.0, 3DDiff, 3704,      ,     13,  23.5,     29
2024-05-05, 10:07:39,  -07:00,       ,   37.5145760, -122.2509613,  -126.2, 29.92,     3.5,  15.2,   0.00,   0.00,  -13.68,       ,       ,       ,       ,      , 256.3,  24.8,  24.1,  -4.1,  15.03,  17.61,     0.00,   57.71,   -0.03,  29.30,    0.0,    0.00,   55.69,   54.24,   54.84,   55.04,        ,        ,   55.87,   54.27,   55.10,   54.62,        ,  435.26,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,  -105.3,   0,  GPS,   98.0, 108.50, 117.30, 119.000, 125.900,       ,       ,       ,       ,       ,       ,   13.0,      0,  NONE,   NONE,      ,      ,   0.0, 3DDiff, 3704,      ,     12,  22.5,     28
2024-05-05, 10:07:40,  -07:00,       ,   37.5145760, -122.2509613,  -126.2, 29.92,     4.0,  15.2,   0.00,   0.00,  -12.97,       ,       ,       ,       ,      , 256.3,  24.8,  24.1,  -4.1,  15.03,  17.61,     0.00,   57.73,   -0.03,  29.31,    0.0,    0.00,   55.69,   54.26,   54.85,   55.04,        ,        ,   55.79,   54.24,   55.08,   54.60,        ,  434.25,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,  -104.8,   0,  GPS,   98.0, 108.50, 117.30, 119.000, 125.900,       ,       ,       ,       ,       ,       ,   13.0,      0,  NONE,   NONE,      ,      ,   0.0, 3DDiff, 3704,      ,     12,  22.5,     28
2024-05-05, 10:07:41,  -07:00,       ,   37.5145760, -122.2509613,  -126.2, 29.92,     4.1,  15.2,   0.00,   0.00,  -15.87,       ,       ,       ,       ,      , 256.3,  24.8,  24.1,  -4.1,  15.03,  17.62,     0.00,   57.73,   -0.03,  29.32,    0.0,    0.00,   55.70,   54.27,   54.86,   55.05,        ,        ,   55.79,   54.26,   55.07,   54.60,        ,  433.26,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,  -104.7,   0,  GPS,   98.0, 108.50, 117.30, 119.000, 125.900,       ,       ,       ,       ,       ,       ,   13.0,      0,  NONE,   NONE,      ,      ,   0.0, 3DDiff, 3704,      ,     12,  22.5,     28
2024-05-05, 10:07:42,  -07:00,       ,   37.5145760, -122.2509613,  -126.2, 29.92,     3.8,  15.2,   0.00,   0.00,  -16.00,       ,       ,       ,       ,      , 256.3,  24.8,  24.1,  -4.0,  15.03,  17.62,     0.00,   57.76,   -0.02,  29.32,    0.0,    0.00,   55.71,   54.28,   54.86,   55.06,        ,        ,   55.74,   54.27,   55.07,   54.60,        ,  432.32,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,  -105.0,   0,  GPS,   98.0, 108.50, 117.30, 119.000, 125.900,       ,       ,       ,       ,       ,       ,   13.0,      0,  NONE,   NONE,      ,      ,   0.0, 3DDiff, 3704,      ,     12,  23.5,     28
2024-05-05, 10:07:43,  -07:00,       ,   37.5145760, -122.2509613,  -126.2, 29.92,     3.7,  15.2,   0.00,   0.00,  -16.00,       ,       ,       ,       ,      , 256.3,  24.8,  24.1,  -4.0,  15.03,  17.62,     0.00,   57.78,   -0.02,  29.31,    0.0,    0.00,   55.71,   54.28,   54.87,   55.06,        ,        ,   55.72,   54.26,   55.11,   54.60,        ,  431.46,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,  -105.1,   0,  GPS,   98.0, 108.50, 117.30, 119.000, 125.900,       ,       ,       ,       ,       ,       ,   13.0,      0,  NONE,   NONE,      ,      ,   0.0, 3DDiff, 3704,      ,     12,  23.5,     28
2024-05-05, 10:07:44,  -07:00,       ,   37.5145760, -122.2509613,  -126.2, 29.92,     3.6,  15.2,   0.00,   0.00,   -4.05,       ,       ,       ,       ,      , 256.3,  24.8,  24.1,  -4.0,  15.03,  17.63,     0.00,   57.78,   -0.01,  29.32,    0.0,    0.00,   55.72,   54.28,   54.87,   55.06,        ,        ,   55.71,   54.28,   55.11,   54.61,        ,  430.59,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,  -105.2,   0,  GPS,   98.0, 108.50, 117.30, 119.000, 125.900,       ,       ,       ,       ,       ,       ,   13.0,      0,  NONE,   NONE,      ,      ,   0.0, 3DDiff, 3704,      ,     13,  24.0,     28
