#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Cessna 182T", unit_software_part_number="006-B1177-6Q", unit_software_version="20.94", system_software_part_number="006-B2501-14", system_id="261B0333C", mode=NORMAL, flightstream_header="261B0333C_0856", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,    84.0, 30.06,        ,  27.2,   0.00,       ,   -0.88,   4.53,  -0.07,  -0.00,   0.00,  76.8,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  130.0, 110.50, 117.30, 125.000, 135.275,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,    84.0, 30.06,        ,  27.2,   0.00,       ,    0.83,   4.54,  -0.09,   0.00,  -0.01,  76.8,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  130.0, 110.50, 117.30, 125.000, 135.275,       ,       ,       ,      ,       ,       ,   12.9,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-03, 10:32:14,  -07:00,       ,             ,             ,    85.0, 30.06,        ,  27.0,   0.00,       ,   10.47,   4.54,  -0.05,   0.00,  -0.01,  76.9,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  130.0, 110.50, 117.30, 125.000, 135.275,       ,       ,       ,      ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-03, 10:32:15,  -07:00,       ,             ,             ,    85.0, 30.06,        ,  27.0,   0.00,       ,   15.29,   4.50,  -0.08,  -0.00,   0.00,  76.9,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  130.0, 110.50, 117.30, 125.000, 135.275,       ,       ,       ,      ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-03, 10:32:16,  -07:00,       ,             ,             ,    84.0, 30.06,        ,  27.0,   0.00,       ,  -11.00,   4.47,  -0.10,   0.00,  -0.01,  76.9,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  130.0, 110.50, 117.30, 125.000, 135.275,       ,       ,       ,      ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-03, 10:32:17,  -07:00,       ,             ,             ,    84.0, 30.06,        ,  26.8,   0.00,       ,  -24.38,   4.43,  -0.07,  -0.01,   0.01,  76.9,      ,  27.1,  27.2,   6.1,   0.8,  35.00,       ,     2.35,   73.60,   61.02,  14.88,  753.1,   75.73,   73.91,   75.86,   74.68,   76.24,   74.39,  817.02,  853.29,  750.48,  749.37,  821.66,  804.81,        ,   0,  GPS,  130.0, 110.50, 117.30, 125.000, 135.275,       ,       ,       ,      ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-03, 10:32:18,  -07:00,       ,             ,             ,    84.0, 30.06,        ,  26.8,   0.00,       ,   -7.54,   4.35,  -0.05,   0.00,  -0.02,  76.9,      ,  27.1,  27.3,   5.9,   0.7,  35.00,  32.76,     2.33,   73.57,   60.99,  14.89,  752.9,   76.06,   74.25,   76.19,   75.03,   76.54,   74.70,  824.73,  862.81,  760.67,  761.33,  830.70,  814.50,        ,   0,  GPS,  130.0, 110.50, 117.30, 125.000, 135.275,       ,       ,       ,      ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-03, 10:32:19,  -07:00,       ,             ,             ,    85.0, 30.06,        ,  26.8,   0.00,       ,    3.03,   4.34,  -0.04,  -0.01,  -0.01,  76.9,      ,  27.3,  27.5,   6.2,   0.7,  35.00,  32.76,     2.36,   73.54,   61.07,  14.81,  756.9,   76.46,   74.60,   76.52,   75.38,   76.92,   75.02,  829.38,  863.73,  772.01,  765.41,  837.92,  826.53,        ,   0,  GPS,  130.0, 110.50, 117.30, 125.000, 135.275,       ,       ,       ,      ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-03, 10:32:20,  -07:00,       ,             ,             ,    84.0, 30.06,        ,  26.8,   0.00,       ,   -6.62,   4.36,  -0.08,   0.00,  -0.01,  77.0,      ,  27.4,  27.5,   6.0,   0.7,  35.00,  32.83,     2.38,   73.52,   61.06,  14.81,  757.0,   76.83,   74.97,   76.87,   75.76,   77.23,   75.36,  836.38,  873.70,  779.80,  771.60,  845.73,  834.49,        ,   0,  GPS,  130.0, 110.50, 117.30, 125.000, 135.275,       ,       ,       ,      ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-03, 10:32:21,  -07:00,       ,             ,             ,    85.0, 30.06,        ,  26.8,   0.00,       ,   -0.72,   4.35,  -0.09,   0.01,  -0.02,  76.9,      ,  27.2,  27.3,   5.2,   0.6,  35.00,  32.83,     2.41,   73.49,   60.82,  14.94,  746.7,   77.22,   75.36,   77.22,   76.13,   77.59,   75.71,  844.57,  884.38,  788.30,  779.70,  853.09,  841.81,        ,   0,  GPS,  130.0, 110.50, 117.30, 125.000, 135.275,       ,       ,       ,      ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
