#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Cirrus SR20", unit_software_part_number="006-B1177-C2", unit_software_version="21.70", system_software_part_number="006-B2647-N9", system_id="262AB333A", mode=NORMAL, flightstream_header="262AB333A_0648", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.03,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,    ,  GPS,  110.0, 114.60, 113.90, 125.000, 135.275,       ,       ,       ,       ,       ,       ,   12.9,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.03,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,    ,  GPS,  110.0, 114.60, 113.90, 125.000, 135.275,       ,       ,       ,       ,       ,       ,   12.9,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.03,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,  29.92,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,    ,  GPS,  110.0, 114.60, 113.90, 125.000, 135.275,       ,       ,       ,       ,       ,       ,   12.9,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.03,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,     0.00,        ,        ,  29.93,    0.0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  110.0, 114.60, 113.90, 125.000, 135.275,       ,       ,       ,       ,       ,       ,   12.9,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,    52.4, 30.03,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,     0.00,        ,        ,  29.93,    0.0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  110.0, 114.60, 113.90, 125.000, 135.275,       ,       ,       ,       ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-03, 10:38:18,  -07:00,       ,             ,             ,    52.4, 30.03,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.3,  23.6, -12.3,       ,       ,     0.00,   80.21,    0.19,  29.92,    0.0,    0.00,   78.18,   75.25,   77.87,   76.00,        ,        ,   77.84,   75.07,   78.28,   75.62,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  110.0, 114.60, 113.90, 125.000, 135.275,       ,       ,       ,       ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-03, 10:38:19,  -07:00,       ,             ,             ,    52.4, 30.03,        ,  24.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.3,  23.6, -11.1,  22.91,  17.32,     0.00,   80.23,    0.19,  29.93,    0.0,    0.00,   78.20,   75.27,   77.89,   76.01,        ,        ,   77.78,   75.09,   78.26,   75.57,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  110.0, 114.60, 113.90, 125.000, 135.275,       ,       ,       ,       ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-03, 10:38:20,  -07:00,       ,             ,             ,    52.4, 30.03,        ,  24.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.3,  23.6, -12.4,  22.90,  17.31,     0.00,   80.24,    0.20,  29.93,    0.0,    0.00,   78.21,   75.28,   77.90,   76.02,        ,        ,   77.80,   75.05,   78.26,   75.58,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  110.0, 114.60, 113.90, 125.000, 135.275,       ,       ,       ,       ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-03, 10:38:21,  -07:00,       ,             ,             ,    52.4, 30.03,        ,  24.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.3,  23.6, -13.3,  22.88,  17.31,     0.00,   80.24,    0.20,  29.93,    0.0,    0.00,   78.23,   75.29,   77.91,   76.04,        ,        ,   77.78,   75.04,   78.25,   75.55,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  110.0, 114.60, 113.90, 125.000, 135.275,       ,       ,       ,       ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-03, 10:38:22,  -07:00,       ,             ,             ,    52.4, 30.03,        ,  24.8,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,  24.3,  23.5, -14.0,  22.86,  17.30,     0.13,   80.24,    0.19,  29.93,    0.0,    0.00,   78.24,   75.31,   77.91,   76.05,        ,        ,   77.80,   75.06,   78.22,   75.56,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  110.0, 114.60, 113.90, 125.000, 135.275,       ,       ,       ,       ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
