#airframe_info, log_version="1.01", airframe_name="Cessna 182T", unit_software_part_number="006-B1177-69", unit_software_version="20.83", system_software_part_number="006-B2501-07", system_id="25BA2E2F2", mode=NORMAL, flightstream_header="25BA2E2F2_20000101_000000", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,    93.6, 29.95,        ,  27.5,   0.00,       ,   10.89,   3.87,   0.83,  -0.01,  -0.02, 169.2,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  130.0, 113.90, 113.90, 121.500, 135.275,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,    94.6, 29.95,        ,  27.5,   0.00,       ,   17.42,   3.90,   0.85,  -0.02,   0.05, 169.2,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  130.0, 113.90, 113.90, 121.500, 135.275,       ,       ,       ,      ,       ,       ,   12.9,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,    94.6, 29.95,        ,  27.2,   0.00,       ,   13.49,   3.85,   0.81,  -0.02,  -0.01, 169.2,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  130.0, 113.90, 113.90, 121.500, 135.275,       ,       ,       ,      ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-09-22, 15:56:11,  -07:00,       ,   37.4560394, -122.1125107,    93.6, 29.95,    -6.4,  27.2,   0.00,   0.00,   -3.56,   3.79,   0.79,  -0.01,  -0.01, 169.2, 256.8,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  -114.5,   0,  GPS,  130.0, 113.90, 113.90, 121.500, 135.275,       ,       ,       ,      ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 112.5,       
2024-09-22, 15:56:12,  -07:00,       ,   37.4560394, -122.1125107,    94.6, 29.95,    -5.5,  27.2,   0.00,   0.00,   -2.99,   3.77,   0.83,   0.00,   0.01, 169.3, 256.8,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  -113.7,   0,  GPS,  130.0, 113.90, 113.90, 121.500, 135.275,       ,       ,       ,      ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 112.5,       
2024-09-22, 15:56:13,  -07:00,       ,   37.4560394, -122.1125107,    93.6, 29.95,    -5.9,  27.2,   0.00,   0.00,   -8.86,   3.76,   0.76,  -0.01,  -0.03, 169.3, 256.8,  28.1,  28.1,  10.5,   1.0,  34.22,  33.30,     3.60,  129.95,   56.08,  14.81, 1028.0,  132.23,  130.87,  138.12,  134.58,  135.01,  130.86,  911.39,  928.11,  886.40,  905.39,  892.31,  863.09,  -114.0,   0,  GPS,  130.0, 113.90, 113.90, 121.500, 135.275,       ,       ,       ,      ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 112.5,       
2024-09-22, 15:56:15,  -07:00,       ,   37.4560394, -122.1125107,    93.6, 29.95,    -5.9,  27.0,   0.00,   0.00,  -14.45,   3.78,   0.76,  -0.02,   0.02, 169.3, 256.8,  28.1,  28.1,  10.0,   1.0,  34.29,  33.30,     3.61,  129.86,   56.24,  14.76, 1034.6,  132.95,  131.44,  138.86,  135.16,  135.60,  131.20,  926.42,  944.61,  905.60,  917.43,  909.29,  894.10,  -114.0,   0,  GPS,  130.0, 113.90, 113.90, 121.500, 135.275,       ,       ,       ,      ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 112.5,       
2024-09-22, 15:56:16,  -07:00,       ,   37.4560394, -122.1125107,    93.6, 29.95,    -5.6,  27.0,   0.00,   0.00,    7.82,   3.76,   0.76,  -0.00,  -0.01, 169.4, 256.8,  28.1,  28.1,   9.8,   1.0,  34.32,  33.30,     3.58,  129.81,   56.28,  14.74, 1037.6,  133.35,  131.76,  139.28,  135.48,  135.93,  131.39,  934.77,  951.52,  914.13,  924.20,  917.70,  909.35,  -113.7,   0,  GPS,  130.0, 113.90, 113.90, 121.500, 135.275,       ,       ,       ,      ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 112.5,       
2024-09-22, 15:56:17,  -07:00,       ,   37.4560394, -122.1125107,    92.6, 29.95,    -5.5,  27.0,   0.00,   0.00,  -19.69,   3.69,   0.68,  -0.01,  -0.03, 169.4, 256.8,  28.1,  28.1,   9.6,   1.0,  34.33,  33.30,     3.57,  129.77,   56.30,  14.76, 1037.6,  133.76,  132.09,  139.70,  135.80,  136.27,  131.59,  942.50,  959.68,  920.37,  930.91,  924.72,  920.78,  -113.6,   0,  GPS,  130.0, 113.90, 113.90, 121.500, 135.275,       ,       ,       ,      ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 112.5,       
2024-09-22, 15:56:18,  -07:00,       ,   37.4560394, -122.1125107,    92.6, 29.95,    -6.0,  27.0,   0.00,   0.00,  -31.56,   3.79,   0.66,  -0.02,   0.03, 169.4, 256.8,  28.1,  28.1,   9.5,   1.0,  34.33,  33.30,     3.61,  129.72,   56.30,  14.75, 1039.5,  134.20,  132.44,  140.12,  136.14,  136.63,  131.81,  948.54,  964.93,  926.12,  936.71,  931.98,  929.99,  -114.2,   0,  GPS,  130.0, 113.90, 113.90, 121.500, 135.275,       ,       ,       ,      ,       ,       ,   12.9,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 112.5,       
